Year,Afghanistan,Algeria,Argentina,Brazil,China,France,Germany,Greece,India,Italy,Iran,Iraq,Japan,Rwanda,Russia,Saudi Arabia,South Africa,Syria,UK,USA
2003,198.728543552291,2094.33550572581,3330.43700583548,3678.10281680867,1288.64325183381,29691.1806296644,30359.9521525666,18477.578411927,541.13522787219,27387.2263150177,2231.34279555916,,34808.3909176613,212.661949073556,2975.13277834925,9567.45828531486,3678.10281680867,1253.39140303912,34173.9799764342,39677.1983481058
2004,219.141352785465,2598.90802346666,4251.57434819873,4745.07168450977,1508.66809788266,33874.7436282932,34165.9340305131,21955.1040911595,621.318376718655,31174.561087858,2729.83841563124,1391.81692299578,37688.7223359406,236.911438147777,4102.37229354879,11138.8074648997,4745.07168450977,1408.85273756165,39983.9846746653,41921.8097617892
2005,250.29412990949,3100.12237758677,5076.8838291729,5277.92545855196,1753.41782925823,34879.7290895638,34696.62091671,22551.735744099,707.008019014373,31959.2629518749,3215.65343287667,1849.60391076699,37217.648727917,287.093187674969,5323.47387655593,13739.8294463775,5277.92545855196,1577.45718218558,41732.640540022,44307.9205848603
2006,272.563077018147,3464.61007870202,5878.76102735208,5506.19650301465,2099.22943460447,36544.5056623887,36447.8723183195,24801.1578065035,792.025969759245,33410.7474398337,3738.68928376282,2351.8124285881,35433.988963743,342.365629421051,6920.19439783608,15334.6699396085,5506.19650301465,1762.24610660537,44252.3158234429,46437.0671173065
2007,369.835795969823,3935.18334285931,7193.61763973522,5994.19540262712,2695.36591709669,41600.5852745045,41814.8190965222,28827.3263555224,1018.16637300052,37698.7866483976,4857.36837125152,3129.22492225095,35275.2284312667,404.853303927227,9101.25308480437,16472.1660466749,5994.19540262712,2058.03520939435,50134.3160971463,48061.5376613353
2008,373.361116300036,4905.25486576261,8953.35927526277,5695.05786031968,3471.2480543115,45413.0664176308,45699.1983232962,31997.2820108813,991.484630404955,40640.1838581691,5574.41043617844,4521.03247019802,39339.2975731826,500.668726431902,11635.26037297,20037.8323388242,5695.05786031968,,46767.5922156593,48401.4273403899
2009,445.893297923744,3868.83123040908,8161.30696648652,5831.11557418879,3838.43397176904,41631.1314123702,41732.707253158,29710.9702950284,1090.31776454409,36976.8455340664,5619.11762112186,3735.14483603071,40855.1756354596,539.153821072148,8562.80959842398,16094.2930975756,5831.11557418879,,38262.1821338364,47001.5553496818
2010,553.300289383064,4463.39467488951,10276.2604977053,7275.38211193642,4560.51258600929,40703.3459209005,41785.556912554,26917.7589787254,1345.77015320886,35849.3731979401,6531.9274296787,4502.74904825726,44507.6763859172,563.491048683175,10674.987707365,19259.5872568465,7275.38211193642,,38893.0184937365,48373.8788155779
2011,603.53702306241,5432.41331978116,12726.9083594731,7976.46607704096,5633.7957168394,43810.2015505945,46810.3279588057,25916.2935289351,1461.67195733844,38334.6838499718,7729.34335288426,5854.61449711212,48167.9972684965,617.310764781771,14351.2120537753,23770.7473862072,7976.46607704096,,41412.3492395708,49790.6654782305
2012,669.009050888028,5565.13452104848,12969.7071238969,7478.22569882149,6337.88332279255,40838.025058798,44065.2489082767,22242.681934771,1446.98540954276,34814.1251168487,7832.90263547528,6651.12241981136,48603.4766497749,678.079697291679,15434.5747807126,25303.094621303,7478.22569882149,,41790.7791407408,51450.1222950581
2013,638.61254321276,5471.12338878709,12976.6364245411,6822.16438936752,7077.77076539558,42554.1201199212,46530.9114275776,21874.8195041667,1452.19537323187,35370.2752583755,6036.1920879904,6925.22404568487,40454.4474578903,688.876855732777,16007.0899934444,24934.3861423166,6822.16438936752,,42724.0678844007,52787.0269489935
2014,629.345250343771,5466.42577841535,12245.2564487696,6437.87797573881,7683.50261309118,42955.2418942185,48042.5634346518,21760.9797994918,1573.11808897472,35396.6657242265,5540.98413566175,6703.07473722928,38109.4121125573,706.569951658266,14125.9087274272,24575.4030378327,6437.87797573881,,46783.4692171284,54706.8681977132
2015,569.577922915754,4160.22006671831,13467.1023570022,5744.32415652725,8069.21302389511,36526.7701083069,41323.921502169,18070.7767788584,1596.47000261045,30180.3215146877,4862.29972856127,4974.0269301667,34567.7456750995,710.348390658908,9329.29071323649,20653.2420466609,5744.32415652725,,44305.5546320834,56469.0089691129
2016,561.778746269502,3916.88157088626,12440.3209818055,5274.54600788616,8123.1808725464,36857.1192305925,42161.3196584389,17890.5749431119,1709.59180811655,30668.9814289997,5219.1094080464,4609.60069352322,38972.3406391468,702.835601585743,8748.36885284202,20028.6482069305,5274.54600788616,,40412.0336199885,57638.1590879883
